all_train_dataset_names,all_validation_dataset_names,champion_type,config_name,context_name,created_at,dataset_root,dataset_signature,exit_momentum_threshold,generation_number,id,ma_window,momentum_threshold,mutation_seed,negative_validation_datasets,position_size,positive_validation_datasets,range_window,ret_mid_window,ret_short_window,run_id,sampled_train_dataset_names,selection_gap,stop_loss,stored_config_name,take_profit,threshold_close,threshold_open,train_dataset_count_available,train_dataset_drawdowns,train_dataset_names,train_dataset_profits,train_dataset_scores,train_drawdown,train_is_valid,train_profit,train_sample_size,train_selection,train_trades,train_violations,trend_threshold,trend_window,use_exit_momentum,use_momentum,use_trend,validation_dataset_count_available,validation_dataset_drawdowns,validation_dataset_names,validation_dataset_profits,validation_dataset_scores,validation_dispersion,validation_drawdown,validation_is_valid,validation_profit,validation_selection,validation_trades,validation_violations,vol_long_window,vol_short_window,weight_dist_ma,weight_range_pos,weight_ret_mid,weight_ret_short,weight_vol_ratio
"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv']",robust,run_f.json,,2026-03-24 14:41:43,data\processed,5fbc0bb80ed14de24dddbf43c47313af181f31938788a7a14f15abdcca15f601,0.001010150252068991,25,1,6,-0.0029976688460151934,42,0,0.11609436114313998,2,10,9,2,a19fbf51-36b0-417d-8abf-7aaa3787a16e,"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']",-1.1889941205523478,0.033642536235412586,run_f.json,0.19227756744154187,0.10186377728756614,0.4704118870633331,2,"[0.03146411401739709, 0.04605091859240533]","['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']","[0.07142880112741497, 0.016045482451253975]","[56.316744118716414, -5.939976844948689]",0.03875751630490121,True,0.04373714178933447,2,13.473884754354621,83.0,[],0.00304690513679098,4,False,True,False,2,"[0.018865460586089264, 0.024323499238357735]","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv']","[0.024300195599503426, 0.026501389646327162]","[14.947465306458794, 14.509640027148295]",0.4378252793104984,0.021594479912223498,True,0.025400792622915294,14.66287887490697,12.5,[],11,8,1.1875477104029075,-0.8322938713817173,0.8420148040502464,1.0402098573665322,-0.6866976806199019
"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv']","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']",specialist,run_i.json,,2026-03-25 15:30:45,data\processed,a7ab0a1682d4435286998f5f2d9ecb0f6f1765bb38edb1b428e5a1098eda3e1d,0.0015448095924507784,25,2,82,0.0010462536021696675,42,0,0.4412135693260739,3,9,40,6,82a9d2a3-b676-433f-a0d8-e5b566c5ef2a,"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv']",-14.652559840493865,0.43232778236499275,run_i.json,0.48656270445429245,0.024633406318492417,0.5826838242931865,3,"[0.16065366853689916, 0.27447830168761, 0.14613294536033647]","['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv']","[0.20769995475729974, 0.04918075675831073, 0.2019543006349319]","[128.68312048885016, -86.52839408549426, 129.2178279547637]",0.16065366853689916,True,0.2019543006349319,3,93.41135061487842,131,['dispersion_too_high'],-0.006433529225986506,12,False,False,True,3,"[0.06224007619648106, 0.10507380993645873, 0.10788635782580394]","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']","[0.1592113912259221, 0.16206098911445543, 0.1574900174229487]","[128.27135312768155, 109.67408414622608, 104.30683851004675]",23.964514617634805,0.10507380993645873,True,0.1592113912259221,108.06391045537228,18,[],65,6,0.8878550460647671,1.579044905444082,-0.5641195915228052,0.4239698076046202,-0.31448818029158276
"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv']","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']",robust,run_balanced.json,,2026-03-25 16:19:20,data\processed,a7ab0a1682d4435286998f5f2d9ecb0f6f1765bb38edb1b428e5a1098eda3e1d,0.00017388767684112423,6,3,5,-0.0011550147714978884,103,0,0.0889401533527575,3,8,5,3,e980293f-126a-48df-a268-895715ec0fed,"['train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']",-1.0622514919148873,0.04098195457274604,run_balanced.json,0.17663631157628387,0.07462436003970022,0.4368503220907519,3,"[0.02716562896151321, 0.026228265614268186, 0.04692042169688278]","['train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']","[0.037771308427578344, 0.04471255275993628, 0.0006834882632052505]","[24.618493946821737, 32.148419952802186, -21.596722585236137]",0.02716562896151321,True,0.037771308427578344,3,13.720827110933147,55,[],0.001142401740629758,4,False,True,True,3,"[0.012799324236750786, 0.022425644525207775, 0.01970239983181148]","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']","[0.02135323655576959, 0.019522071490332808, 0.02441131601903366]","[15.073574437394198, 8.46924922772892, 14.850116103127919]",6.604325209665278,0.01970239983181148,True,0.02135323655576959,14.783078602848034,16,[],14,5,0.7634136940623162,-0.8427406380037565,1.3173930534578617,1.1404531959062578,-1.401944117728726
"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv']","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']",robust,run_balanced.json,,2026-03-26 00:02:33,data\processed,a7ab0a1682d4435286998f5f2d9ecb0f6f1765bb38edb1b428e5a1098eda3e1d,0.0008623056116226233,34,4,14,-0.0001382852730398361,102,0,0.10805519952955875,3,9,5,4,43ef4ecb-dce4-4ec5-b27b-775f1f70773f,"['train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv']",-0.5807319810165978,0.03388596486436272,run_balanced.json,0.08799762559010882,0.07169969063960088,0.43111518821703537,3,"[0.06810578126965512, 0.025262543660048955, 0.0358868460921216]","['train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv']","[-0.008466447798347572, 0.06752460559307287, 0.05351355442023576]","[-39.25933843317513, 55.75333376304839, 37.46013137417496]",0.0358868460921216,True,0.05351355442023576,3,15.768435284242884,189,['dispersion_too_high'],0.001510315970102242,8,False,True,False,3,"[0.017260212184387187, 0.01870063317834507, 0.024658861289551005]","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']","[0.02587280376880599, 0.025659529333974997, 0.01722180910547325]","[17.562697676612398, 16.629212744802462, 5.792378460697747]",11.77031921591465,0.01870063317834507,True,0.025659529333974997,16.34916726525948,32,[],14,3,1.1928428487557274,-0.8333250437011197,1.50037822541463,1.3266642929350954,-1.4632526458478747
"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv']","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']",robust,run_balanced.json,,2026-03-26 00:29:04,data\processed,a7ab0a1682d4435286998f5f2d9ecb0f6f1765bb38edb1b428e5a1098eda3e1d,0.00017388767684112423,6,5,5,-0.0011550147714978884,103,0,0.0889401533527575,3,8,5,3,3ba3285a-ff05-40fc-a6cb-26f92cf6a68d,"['train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']",-1.0622514919148873,0.04098195457274604,run_balanced.json,0.17663631157628387,0.07462436003970022,0.4368503220907519,3,"[0.02716562896151321, 0.026228265614268186, 0.04692042169688278]","['train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']","[0.037771308427578344, 0.04471255275993628, 0.0006834882632052505]","[24.618493946821737, 32.148419952802186, -21.596722585236137]",0.02716562896151321,True,0.037771308427578344,3,13.720827110933147,55,[],0.001142401740629758,4,False,True,True,3,"[0.012799324236750786, 0.022425644525207775, 0.01970239983181148]","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']","[0.02135323655576959, 0.019522071490332808, 0.02441131601903366]","[15.073574437394198, 8.46924922772892, 14.850116103127919]",6.604325209665278,0.01970239983181148,True,0.02135323655576959,14.783078602848034,16,[],14,5,0.7634136940623162,-0.8427406380037565,1.3173930534578617,1.1404531959062578,-1.401944117728726
"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv']","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']",robust,run_balanced.json,,2026-03-26 00:53:08,data\processed,a7ab0a1682d4435286998f5f2d9ecb0f6f1765bb38edb1b428e5a1098eda3e1d,0.0013460143099713311,15,6,5,0.0010064879565587753,104,0,0.08606675236546277,3,8,11,3,e99f0136-cd9d-428e-9489-a7947bfa4bbc,"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']",-1.0012875729403312,0.040727878777206836,run_balanced.json,0.1932071553955546,0.09572163220931211,0.4210870526932001,3,"[0.029251583537595244, 0.025931426879212998, 0.04235162159301126]","['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']","[0.03740552069419363, 0.043594236072970464, -0.0015833046186864365]","[23.669728925396008, 31.098522633363963, -21.08911541519206]",0.029251583537595244,True,0.03740552069419363,3,13.005444646928797,89,[],0.0011983454883336998,5,False,True,True,3,"[0.013972808921199693, 0.020242840024328235, 0.018456495431578998]","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']","[0.021598104402796844, 0.024122375552570446, 0.013860677471598654]","[14.761699942196998, 14.180955540406329, 5.152429755809155]",9.609270186387842,0.018456495431578998,True,0.021598104402796844,14.006732219869129,18,[],14,3,0.9741792642601758,-0.72872568746735,1.4984243777060413,1.0565484906793112,-1.5972297750086346
"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv']","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']",specialist,run_exploratory.json,,2026-03-26 05:18:53,data\processed,a7ab0a1682d4435286998f5f2d9ecb0f6f1765bb38edb1b428e5a1098eda3e1d,-0.005746866718076407,40,7,34,-0.0063256395638549056,103,0,0.24186758207387654,3,7,39,2,f2cc503f-dc8c-4a0c-8186-1ebd7f2f34b1,"['train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv']",2.249109123332083,0.9477449958477699,run_exploratory.json,0.10291857714414392,0.029196455238520387,0.9015896193870808,3,"[0.07495525783773903, 0.13097550831707044, 0.08527724854933819]","['train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv']","[0.09369899916242891, 0.022568741305769684, 0.10445420547242841]","[56.38137024355939, -42.49901285276554, 62.07558119775931]",0.08527724854933819,True,0.09369899916242891,3,37.173501816193195,26,['dispersion_too_high'],-0.0007092767894241467,44,False,True,False,3,"[0.03411920617203713, 0.057773475373060615, 0.05639343793206867]","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']","[0.04921343124173505, 0.06581174935854858, 0.06332510065408556]","[32.22382815571649, 37.06501167201827, 35.41838168805123]",4.841183516301783,0.05639343793206867,True,0.06332510065408556,34.92439269286111,14,[],47,9,1.6768827409825964,0.41149947182058255,-0.21784860512083049,2.112032511344489,0.8128698170348853
"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv']","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']",specialist,run_exploratory.json,,2026-03-26 05:58:07,data\processed,a7ab0a1682d4435286998f5f2d9ecb0f6f1765bb38edb1b428e5a1098eda3e1d,0.0024367691951502264,34,8,9,-0.004464433060159013,104,0,0.16654340844412743,3,9,10,3,281b2cf1-5d86-411f-89fe-d47031186018,"['train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']",-0.8211692347590223,0.03502917226169273,run_exploratory.json,0.2095477538550248,0.0,0.44125395077113383,3,"[0.05747999652913592, 0.05850177542778287, 0.0743528010971352]","['train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']","[0.06213693286248613, 0.06258498147696742, 0.01790557231172161]","[33.67693459791817, 33.59409376307598, -19.010828236845988]",0.05850177542778287,True,0.06213693286248613,3,25.964910217884935,26,[],0.003373840187893902,2,False,False,True,3,"[0.027210719474017882, 0.041536954109711796, 0.03194168178738065]","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']","[0.040989311497296066, 0.03840942537867245, 0.04530770034612135]","[27.413951760287127, 17.77094832381655, 29.50685945243103]",11.735911128614479,0.03194168178738065,True,0.040989311497296066,26.786079452643957,13,[],12,8,0.7106015733600692,-0.7164005510720819,1.256233086971111,1.5098158388413896,-1.0402787538378475
"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv']","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']",specialist,run_exploratory.json,,2026-03-26 06:33:53,data\processed,a7ab0a1682d4435286998f5f2d9ecb0f6f1765bb38edb1b428e5a1098eda3e1d,0.003182479300760482,41,9,7,0.0014898267914334104,105,0,0.1881490417906696,3,9,11,6,ca463bbd-67cd-42f9-9e70-418bc123845b,"['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']",1.6743990826520303,0.03296740587281896,run_exploratory.json,0.21633156906956075,0.05317037980178124,0.41895809039380216,3,"[0.05472918164653358, 0.0556727466001576, 0.08200194105381191]","['train\\BTCUSDT\\1h\\BTCUSDT-1h-train.csv', 'train\\BTCUSDT\\4h\\BTCUSDT-4h-train.csv', 'train\\ETHUSDT\\1h\\ETHUSDT-1h-train.csv']","[0.08880953594498579, 0.0738398892570973, 0.017868196809549326]","[62.194945121719, 46.47351595701849, -21.872773717356626]",0.0556727466001576,True,0.0738398892570973,3,32.507977720665686,75,['dispersion_too_high'],0.0005554576844300509,7,False,True,False,3,"[0.03142907752899325, 0.04427893940425194, 0.04526198361353241]","['validation\\BTCUSDT\\4h\\BTCUSDT-4h-validation.csv', 'validation\\ETHUSDT\\4h\\ETHUSDT-4h-validation.csv', 'validation\\ETHUSDT\\1h\\ETHUSDT-1h-validation.csv']","[0.04861913648548917, 0.05328097582082706, 0.042400506068440515]","[33.034597720992544, 31.34150611870109, 20.22951426167431]",12.805083459318233,0.04427893940425194,True,0.04861913648548917,30.833578638013655,20,[],14,2,0.6336700275707554,-0.994531113039401,0.5392341327941358,1.2860074011377056,-1.002396418559595
